,sentence,aspect,sentiment
0,i ordered egg soft noodles from here  they didn t even included spoon or spork for the item    how i have to eat noodles and also full of oily,quality,Negative
1,i ordered egg soft noodles from here  they didn t even included spoon or spork for the item    how i have to eat noodles and also full of oily,service,Negative
2,ice cream was good   but it s totally got melt as delivery boy took a lot of time to reach ,quality,Positive
3,ice cream was good   but it s totally got melt as delivery boy took a lot of time to reach ,service,Negative
4,he mentioned it as delivered as soon as he picked order ,service,Negative
5,he took nearly 45 minutes to come ,service,Negative
6,food was not good its from yesterday s food with less quanity i asked to customer care some one told they will refund and after 10 mins some one told not possible without giving proper food you people are charging and telling we are sorry if you will go for old chat also same issue i am facing maximum times this service is very bad services provding zomato i will put a complain to food inspection team they will definitly take a action zomato is full of fraud service it shuold stop some times delivery guys are eating customers food  sometimes providing 2 days back food to customers ,quality,Negative
7,food was not good its from yesterday s food with less quanity i asked to customer care some one told they will refund and after 10 mins some one told not possible without giving proper food you people are charging and telling we are sorry if you will go for old chat also same issue i am facing maximum times this service is very bad services provding zomato i will put a complain to food inspection team they will definitly take a action zomato is full of fraud service it shuold stop some times delivery guys are eating customers food  sometimes providing 2 days back food to customers ,service,Negative
8,food feels like the afternoon prepared and sent on dinner ,quality,Negative
9,bad reception and unprofessional staff do not visit this place they are unfriendly they just loot your money and the prices are also very high,price,Negative
10,bad reception and unprofessional staff do not visit this place they are unfriendly they just loot your money and the prices are also very high,service,Negative
11,really very disappointed with quantity of chicken in the biryani,quality,Negative
12,we ordered egg biryani and we were delivered chicken biryani with chicken replaced with eggs ,service,Negative
13,he tried his best to pose it as egg and biryani but he forgot to remove bones from the biryani ,service,Negative
14,wouldn t order egg biryani from here again ,service,Negative
15,i don t know why they are so obsessed with oil ,quality,Negative
16,i found half of the container comes filled with oil only ,quality,Negative
17,i bet you can t chew their chapatis if you have teeth strong enough to break stones ,quality,Negative
18,really bad quality food for health   ,quality,Negative
19,they will surve just oil   this oil i have removed from dal   more than that came in paneer as well which i have ordered earlier few months back ,quality,Negative
20,very late delivery,service,Negative
21,worst taste   buffet is not at all good   service is too bad  price is not worth with the food   please don t choice this restaurant   1 rating is too much for it  ,price,Negative
22,worst taste   buffet is not at all good   service is too bad  price is not worth with the food   please don t choice this restaurant   1 rating is too much for it  ,quality,Negative
23,worst taste   buffet is not at all good   service is too bad  price is not worth with the food   please don t choice this restaurant   1 rating is too much for it  ,service,Negative
24,i will be brutality true  ,other,Negative
25,there s a reason why they are giving huge discounts via different booking table reservation platforms ,service,Negative
26,service   very very slow even on a weekday ,service,Negative
27,seems kitchen is highly understaffed ,service,Negative
28,food  pathetic ,quality,Negative
29,i haven t had so pathetic kababs here in hyderabad  like what i got at arena eleven ,quality,Negative
30,overall a big no ,other,Negative
31,please don t waste your money here ,other,Negative
32,ordered fish lemon pepper kabab  ,quality,Negative
33,2 ,quality,Negative
34,ordered chicken tikka kabab ,quality,Negative
35,the worst experience ever ,other,Negative
36,ordered achari ghoshti it came with more salt later asked him he repaired the remaining curry after half an hour ,quality,Negative
37,ordered achari ghoshti it came with more salt later asked him he repaired the remaining curry after half an hour ,service,Negative
38,also the service was too slow and pathetic ,service,Negative
39,very bad place to hang on  the staff is very arrogant and short tempered ,service,Negative
40,they don t allow entry to stags on the dance floor also and despite of so high prices haven t given any discount even not corporate discount too ,price,Negative
41,they don t allow entry to stags on the dance floor also and despite of so high prices haven t given any discount even not corporate discount too ,service,Negative
42,food was terrible,quality,Negative
43,i ordered 3 donuts online and all of them were hard and not fresh ,quality,Negative
44,and not edible to eat at all ,quality,Negative
45,i have no option but to throw them in the dust bin ,quality,Negative
46,very very disappointed ,other,Negative
47,went here for a team lunch party a while back and i swear to god the food was pathetic ,quality,Negative
48,the starters they server were cold and even after calling out the waiter multiple times there wasn t a positive response ,quality,Negative
49,the starters they server were cold and even after calling out the waiter multiple times there wasn t a positive response ,service,Negative
