"annotation_id","annotator","created_at","environment","id","lead_time","other","price","quality","sentence","service","updated_at"
1010,"1","2025-06-23T03:55:22.302847Z","",1,105.144,"","","Negative","i ordered egg soft noodles from here  they didn t even included spoon or spork for the item    how i have to eat noodles and also full of oily","Negative","2025-06-23T04:15:10.517464Z"
1011,"1","2025-06-23T03:55:29.133528Z","",2,25.798000000000002,"","","Positive","ice cream was good   but it s totally got melt as delivery boy took a lot of time to reach ","Negative","2025-06-23T04:15:31.389844Z"
1012,"1","2025-06-23T03:55:34.197675Z","",2,29.621000000000002,"","","","he mentioned it as delivered as soon as he picked order ","Negative","2025-06-23T04:15:55.752486Z"
1013,"1","2025-06-23T03:55:40.279121Z","",2,19.691,"","","","he took nearly    minutes to come ","Negative","2025-06-23T04:16:08.422448Z"
1014,"1","2025-06-23T03:55:57.484380Z","",3,31.397000000000002,"","","Negative","food was not good its from yesterday s food with less quanity i asked to customer care some one told they will refund and after    mins some one told not possible without giving proper food you people are charging and telling we are sorry if you will go for old chat also same issue i am facing maximum times this service is very bad services provding zomato i will put a complain to food inspection team they will definitly take a action zomato is full of fraud service it shuold stop some times delivery guys are eating customers food  sometimes providing   days back food to customers ","Negative","2025-06-23T04:16:21.364906Z"
1015,"1","2025-06-23T03:57:07.465275Z","",4,96.968,"","","Negative","food feels like the afternoon prepared and sent on dinner ","","2025-06-23T04:17:20.742972Z"
1016,"1","2025-06-23T03:57:20.749483Z","",5,67.668,"","Negative","","bad reception and unprofessional staff do not visit this place they are unfriendly they just loot your money and the prices are also very high","Negative","2025-06-23T04:18:15.133061Z"
1017,"1","2025-06-23T03:59:10.943208Z","",6,117.785,"","","Negative","really very disappointed with quantity of chicken in the biryani","","2025-06-23T04:18:23.510144Z"
1018,"1","2025-06-23T03:59:22.463792Z","",7,21.348,"","","","we ordered egg biryani and we were delivered chicken biryani with chicken replaced with eggs ","Negative","2025-06-23T04:18:33.774142Z"
1019,"1","2025-06-23T03:59:37.302048Z","",7,29.385,"","","","he tried his best to pose it as egg and biryani but he forgot to remove bones from the biryani ","Negative","2025-06-23T04:18:57.821323Z"
1020,"1","2025-06-23T04:00:11.583319Z","",7,61.698,"","","","wouldn t order egg biryani from here again ","Negative","2025-06-23T04:20:50.456640Z"
1021,"1","2025-06-23T04:00:19.732969Z","",8,37.273,"","","","i have ordered twice from zomato ","","2025-06-23T04:23:13.262319Z"
1022,"1","2025-06-23T04:00:25.711782Z","",8,13.629,"","","Negative","i don t know why they are so obsessed with oil ","","2025-06-23T04:21:24.518954Z"
1023,"1","2025-06-23T04:00:28.981096Z","",8,12.415000000000001,"","","Negative","i found half of the container comes filled with oil only ","","2025-06-23T04:21:34.518510Z"
1024,"1","2025-06-23T04:00:34.876196Z","",8,16.765,"","","Negative","i bet you can t chew their chapatis if you have teeth strong enough to break stones ","","2025-06-23T04:21:43.061274Z"
